archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,1.0,z_plus,0.05,500,0.074
temporal_smoothing,1.0,z_plus,0.01,500,0.016
temporal_smoothing,1.0,z_plus,0.001,500,0.002
temporal_smoothing,1.0,z_plus_renorm,0.05,499,0.0581162324649298
temporal_smoothing,1.0,z_plus_renorm,0.01,499,0.0060120240480961
temporal_smoothing,1.0,z_plus_renorm,0.001,499,0.002004008016032
temporal_smoothing,1.0,breadth,0.05,500,0.01
temporal_smoothing,1.0,breadth,0.01,500,0.0
temporal_smoothing,1.0,breadth,0.001,500,0.0
temporal_smoothing,1.0,z_mahalanobis_sq,0.05,500,0.068
temporal_smoothing,1.0,z_mahalanobis_sq,0.01,500,0.012
temporal_smoothing,1.0,z_mahalanobis_sq,0.001,500,0.0
temporal_smoothing,1.0,t_iut,0.05,500,0.064
temporal_smoothing,1.0,t_iut,0.01,500,0.01
temporal_smoothing,1.0,t_iut,0.001,500,0.002
temporal_smoothing,1.0,z_plus_softmax,0.05,499,0.12625250501002
temporal_smoothing,1.0,z_plus_softmax,0.01,499,0.1082164328657314
temporal_smoothing,1.0,z_plus_softmax,0.001,499,0.1082164328657314
temporal_smoothing,1.0,z_plus_orth,0.05,499,0.1302605210420841
temporal_smoothing,1.0,z_plus_orth,0.01,499,0.1102204408817635
temporal_smoothing,1.0,z_plus_orth,0.001,499,0.1102204408817635
temporal_smoothing,1.5,z_plus,0.05,500,0.086
temporal_smoothing,1.5,z_plus,0.01,500,0.028
temporal_smoothing,1.5,z_plus,0.001,500,0.008
temporal_smoothing,1.5,z_plus_renorm,0.05,500,0.082
temporal_smoothing,1.5,z_plus_renorm,0.01,500,0.014
temporal_smoothing,1.5,z_plus_renorm,0.001,500,0.0
temporal_smoothing,1.5,breadth,0.05,500,0.018
temporal_smoothing,1.5,breadth,0.01,500,0.0
temporal_smoothing,1.5,breadth,0.001,500,0.0
temporal_smoothing,1.5,z_mahalanobis_sq,0.05,500,0.082
temporal_smoothing,1.5,z_mahalanobis_sq,0.01,500,0.016
