archetype,delta,composite,alpha,n_finite,detection_rate
temporal_smoothing,2.0,z_mahalanobis_sq,0.001,500,0.004
temporal_smoothing,2.0,t_iut,0.05,500,0.066
temporal_smoothing,2.0,t_iut,0.01,500,0.01
temporal_smoothing,2.0,t_iut,0.001,500,0.0
temporal_smoothing,2.0,z_plus_softmax,0.05,500,0.132
temporal_smoothing,2.0,z_plus_softmax,0.01,500,0.116
temporal_smoothing,2.0,z_plus_softmax,0.001,500,0.112
temporal_smoothing,2.0,z_plus_orth,0.05,500,0.13
temporal_smoothing,2.0,z_plus_orth,0.01,500,0.112
temporal_smoothing,2.0,z_plus_orth,0.001,500,0.112
temporal_smoothing,3.0,z_plus,0.05,500,0.18
temporal_smoothing,3.0,z_plus,0.01,500,0.028
temporal_smoothing,3.0,z_plus,0.001,500,0.002
temporal_smoothing,3.0,z_plus_renorm,0.05,500,0.112
temporal_smoothing,3.0,z_plus_renorm,0.01,500,0.05
temporal_smoothing,3.0,z_plus_renorm,0.001,500,0.0
temporal_smoothing,3.0,breadth,0.05,500,0.014
temporal_smoothing,3.0,breadth,0.01,500,0.014
temporal_smoothing,3.0,breadth,0.001,500,0.0
temporal_smoothing,3.0,z_mahalanobis_sq,0.05,500,0.144
temporal_smoothing,3.0,z_mahalanobis_sq,0.01,500,0.008
temporal_smoothing,3.0,z_mahalanobis_sq,0.001,500,0.002
temporal_smoothing,3.0,t_iut,0.05,500,0.086
temporal_smoothing,3.0,t_iut,0.01,500,0.014
temporal_smoothing,3.0,t_iut,0.001,500,0.0
temporal_smoothing,3.0,z_plus_softmax,0.05,500,0.174
temporal_smoothing,3.0,z_plus_softmax,0.01,500,0.166
temporal_smoothing,3.0,z_plus_softmax,0.001,500,0.166
temporal_smoothing,3.0,z_plus_orth,0.05,500,0.174
temporal_smoothing,3.0,z_plus_orth,0.01,500,0.166
temporal_smoothing,3.0,z_plus_orth,0.001,500,0.166
peer_gaming,0.5,z_plus,0.05,500,0.07
peer_gaming,0.5,z_plus,0.01,500,0.014
peer_gaming,0.5,z_plus,0.001,500,0.0
peer_gaming,0.5,z_plus_renorm,0.05,499,0.0200400801603206
peer_gaming,0.5,z_plus_renorm,0.01,499,0.0040080160320641
peer_gaming,0.5,z_plus_renorm,0.001,499,0.0
peer_gaming,0.5,breadth,0.05,500,0.022
peer_gaming,0.5,breadth,0.01,500,0.022
peer_gaming,0.5,breadth,0.001,500,0.0
peer_gaming,0.5,z_mahalanobis_sq,0.05,500,0.062
peer_gaming,0.5,z_mahalanobis_sq,0.01,500,0.016
peer_gaming,0.5,z_mahalanobis_sq,0.001,500,0.006
peer_gaming,0.5,t_iut,0.05,500,0.078
peer_gaming,0.5,t_iut,0.01,500,0.024
peer_gaming,0.5,t_iut,0.001,500,0.0
peer_gaming,0.5,z_plus_softmax,0.05,499,0.0380761523046092
peer_gaming,0.5,z_plus_softmax,0.01,499,0.0140280561122244
peer_gaming,0.5,z_plus_softmax,0.001,499,0.0140280561122244
peer_gaming,0.5,z_plus_orth,0.05,499,0.0380761523046092
peer_gaming,0.5,z_plus_orth,0.01,499,0.0160320641282565
peer_gaming,0.5,z_plus_orth,0.001,499,0.0140280561122244
peer_gaming,1.0,z_plus,0.05,500,0.15
peer_gaming,1.0,z_plus,0.01,500,0.014
peer_gaming,1.0,z_plus,0.001,500,0.0
peer_gaming,1.0,z_plus_renorm,0.05,500,0.022
peer_gaming,1.0,z_plus_renorm,0.01,500,0.0
peer_gaming,1.0,z_plus_renorm,0.001,500,0.0
peer_gaming,1.0,breadth,0.05,500,0.052
peer_gaming,1.0,breadth,0.01,500,0.052
peer_gaming,1.0,breadth,0.001,500,0.0
peer_gaming,1.0,z_mahalanobis_sq,0.05,500,0.12
peer_gaming,1.0,z_mahalanobis_sq,0.01,500,0.02
peer_gaming,1.0,z_mahalanobis_sq,0.001,500,0.006
peer_gaming,1.0,t_iut,0.05,500,0.17
peer_gaming,1.0,t_iut,0.01,500,0.058
peer_gaming,1.0,t_iut,0.001,500,0.0
peer_gaming,1.0,z_plus_softmax,0.05,500,0.018
peer_gaming,1.0,z_plus_softmax,0.01,500,0.014
peer_gaming,1.0,z_plus_softmax,0.001,500,0.014
peer_gaming,1.0,z_plus_orth,0.05,500,0.018
peer_gaming,1.0,z_plus_orth,0.01,500,0.014
peer_gaming,1.0,z_plus_orth,0.001,500,0.014
peer_gaming,1.5,z_plus,0.05,500,0.244
peer_gaming,1.5,z_plus,0.01,500,0.05
peer_gaming,1.5,z_plus,0.001,500,0.0
peer_gaming,1.5,z_plus_renorm,0.05,500,0.026
peer_gaming,1.5,z_plus_renorm,0.01,500,0.0
peer_gaming,1.5,z_plus_renorm,0.001,500,0.0
peer_gaming,1.5,breadth,0.05,500,0.052
peer_gaming,1.5,breadth,0.01,500,0.052
peer_gaming,1.5,breadth,0.001,500,0.0
peer_gaming,1.5,z_mahalanobis_sq,0.05,500,0.284
peer_gaming,1.5,z_mahalanobis_sq,0.01,500,0.034
peer_gaming,1.5,z_mahalanobis_sq,0.001,500,0.024
peer_gaming,1.5,t_iut,0.05,500,0.15
peer_gaming,1.5,t_iut,0.01,500,0.058
peer_gaming,1.5,t_iut,0.001,500,0.0
peer_gaming,1.5,z_plus_softmax,0.05,500,0.02
peer_gaming,1.5,z_plus_softmax,0.01,500,0.02
peer_gaming,1.5,z_plus_softmax,0.001,500,0.02
peer_gaming,1.5,z_plus_orth,0.05,500,0.02
