archetype,delta,composite,alpha,n_finite,detection_rate
peer_gaming,1.0,z_mahalanobis_sq,0.001,500,0.008
peer_gaming,1.0,t_iut,0.05,500,0.138
peer_gaming,1.0,t_iut,0.01,500,0.048
peer_gaming,1.0,t_iut,0.001,500,0.01
peer_gaming,1.0,z_plus_softmax,0.05,500,0.03
peer_gaming,1.0,z_plus_softmax,0.01,500,0.018
peer_gaming,1.0,z_plus_softmax,0.001,500,0.012
peer_gaming,1.0,z_plus_orth,0.05,500,0.03
peer_gaming,1.0,z_plus_orth,0.01,500,0.016
peer_gaming,1.0,z_plus_orth,0.001,500,0.012
peer_gaming,1.5,z_plus,0.05,500,0.182
peer_gaming,1.5,z_plus,0.01,500,0.044
peer_gaming,1.5,z_plus,0.001,500,0.004
peer_gaming,1.5,z_plus_renorm,0.05,500,0.054
peer_gaming,1.5,z_plus_renorm,0.01,500,0.0
peer_gaming,1.5,z_plus_renorm,0.001,500,0.0
peer_gaming,1.5,breadth,0.05,500,0.066
peer_gaming,1.5,breadth,0.01,500,0.0
peer_gaming,1.5,breadth,0.001,500,0.0
peer_gaming,1.5,z_mahalanobis_sq,0.05,500,0.222
peer_gaming,1.5,z_mahalanobis_sq,0.01,500,0.018
peer_gaming,1.5,z_mahalanobis_sq,0.001,500,0.01
peer_gaming,1.5,t_iut,0.05,500,0.164
peer_gaming,1.5,t_iut,0.01,500,0.052
peer_gaming,1.5,t_iut,0.001,500,0.004
peer_gaming,1.5,z_plus_softmax,0.05,500,0.01
peer_gaming,1.5,z_plus_softmax,0.01,500,0.01
peer_gaming,1.5,z_plus_softmax,0.001,500,0.01
peer_gaming,1.5,z_plus_orth,0.05,500,0.01
