archetype,delta,detector,alpha,n_finite,flag_rate
systematic,1.5,z1,0.05,500,0.422
systematic,1.5,z1,0.01,500,0.164
systematic,1.5,z1,0.001,500,0.164
systematic,1.5,z2,0.05,500,0.49
systematic,1.5,z2,0.01,500,0.326
systematic,1.5,z2,0.001,500,0.206
systematic,1.5,z3,0.05,500,0.47
systematic,1.5,z3,0.01,500,0.208
systematic,1.5,z3,0.001,500,0.046
systematic,1.5,z4,0.05,500,0.41
systematic,1.5,z4,0.01,500,0.2
systematic,1.5,z4,0.001,500,0.024
systematic,1.5,z6,0.05,500,0.524
systematic,1.5,z6,0.01,500,0.374
systematic,1.5,z6,0.001,500,0.252
systematic,1.5,z8,0.05,500,0.04
systematic,1.5,z8,0.01,500,0.01
systematic,1.5,z8,0.001,500,0.004
systematic,1.5,z57,0.05,500,0.438
systematic,1.5,z57,0.01,500,0.164
systematic,1.5,z57,0.001,500,0.044
systematic,2.0,z1,0.05,500,0.626
